鹆 鵒
腌 腌
鱿 魷
鲀 魨
鲂 魴
颍 潁
飓 颶
觞 觴
颎 熲
馇 餷
馊 餿
亵 褻
脔 臠
痨 癆
痫 癇
赓 賡
颏 頦
鹇 鷳
阑 闌
阒 闃
阕 闋
鹈 鵜
愦 憒
喾 嚳
谟 謨
裢 褳
裥 襇
谠 讜
谡 謖
谥 謚
谧 謐
骘 騭
巯 巰
翚 翬
骛 騖
缂 緙
缃 緗
缄 緘
缇 緹
缈 緲
缌 緦
缑 緱
缒 縋
缗 緡
飨 饗
耢 耮
骜 驁
韫 韞
摅 攄
摈 擯
毂 轂
蓦 驀
鹋 鶓
蓟 薊
蓠 蘺
蓥 鎣
颐 頤
榈 櫚
榉 櫸
碛 磧
碜 磣
鹌 鵪
辏 輳
龃 齟
龅 齙
韪 韙
嗫 囁
跶 躂
跸 蹕
跹 躚
跻 躋
嗳 噯
锗 鍺
锛 錛
锜 錡
锝 鍀
锞 錁
锟 錕
锢 錮
锨 鍁
锩 錈
锭 錠
锱 錙
觎 覦
颔 頷
鲅 鮁
鲆 鮃
鲇 鮎
鲈 鱸
稣 穌
鲋 鮒
鲐 鮐
鹐 鵮
飕 颼
馐 饈
鹑 鶉
瘆 瘮
阖 闔
阗 闐
阙 闕
滟 灧
滢 瀅
滗 潷
滦 灤
滪 澦
慑 懾
鲎 鱟
骞 騫
窦 竇
谩 謾
谪 謫
嫒 嬡
嫔 嬪
缙 縉
缜 縝
缛 縟
辔 轡
骝 騮
缟 縞
缡 縭
缢 縊
缣 縑
骟 騸
觏 覯
韬 韜
叆 靉
撄 攖
蔷 薔
蔺 藺
鹕 鶘
槟 檳
槠 櫧
酽 釅
殡 殯
霁 霽
辕 轅
龇 龇
龈 齦
 瞜
暧 曖
踌 躊
蝈 蟈
鹗 鶚
嘤 嚶
罴 羆
赙 賻
罂 罌
鹘 鶻
锲 鍥
锴 鍇
锶 鍶
锷 鍔
锸 鍤
锵 鏘
镁 鎂
镂 鏤
箦 簀
箧 篋
箪 簞
箓 籙
膑 臏
鲑 鮭
鲔 鮪
鲚 鱭
鲛 鮫
鲟 鱘
馑 饉
銮 鑾
瘘 瘻
阚 闞
鲞 鯗
糁 糝
鹚 鷀
潋 瀲
潍 濰
谮 譖
褛 褸
谯 譙
谰 讕
谲 譎
鹛 鶥
嫱 嬙
鹜 鶩
骠 驃
缥 縹
缦 縵
缧 縲
缨 纓
骢 驄
缪 繆
缫 繅
耧 耬
璎 瓔
撷 擷
撸 擼
撺 攛
聩 聵
觐 覲
鞑 韃
鞒 鞽
蕲 蘄
赜 賾
樯 檣
靥 靨
魇 魘
餍 饜
辘 轆
龉 齬
龊 齪
觑 覷
颙 顒
踬 礩
踯 躑
蝾 蠑
蝼 螻
颚 顎
噜 嚕
颛 顓
镊 鑷
镉 鎘
镌 鎸
镍 鎳
镏 鎦
镒 鎰
镓 鎵
镔 鑌
篑 簣
鹞 鷂
鲠 鯁
鲡 鱺
鲢 鰱
鲣 鰹
鲥 鰣
鲧 鯀
鲩 鯇
觯 觶
馓 饊
馔 饌
齑 齏
谳 讞
褴 襤
谵 譫
屦 屨
缬 纈
缮 繕
缯 繒
骣 驏
擞 擻
颞 顳
颟 顢
薮 藪
橹 櫓
橼 櫞
赝 贋
飙 飆
錾 鏨
辚 轔
螨 蟎
 鐯
镖 鏢
镗 鏜
镘 鏝
镚 鏰
镛 鏞
镝 鏑
镞 鏃
镠 鏐
氇 氌
穑 穡
魉 魎
鲮 鯪
鲱 鲱
鲲 鯤
鲳 鯧
鲴 鯝
鲵 鯢
鲷 鯛
鲻 鯔
獭 獺
鹧 鷓
赟 贇
瘿 癭
斓 斕
濑 瀨
颡 顙
缱 繾
缲 繰
缳 繯
藓 蘚
鹩 鷯
龋 齲
龌 齷
蹑 躡
蹒 蹣
羁 羈
镡 鐔
镢 鐝
镣 鐐
镦 鐓
镧 鑭
镩 鑹
镪 鏹
镫 鐙
簖 籪
